ds,Category,y,is_holiday,is_payday,day_of_week,day_name,month,quarter,year,is_weekend,y_original,y_capped,is_outlier,lag_1,lag_7,lag_14,rolling_mean_7,rolling_mean_30
2015-01-03,Furniture,0.0,0.0,0.0,5,Saturday,1,1,2015,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2015-01-04,Furniture,0.0,0.0,0.0,6,Sunday,1,1,2015,1,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2015-01-05,Furniture,0.0,0.0,0.0,0,Monday,1,1,2015,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2015-01-06,Furniture,2573.82,0.0,0.0,1,Tuesday,1,1,2015,0,2573.82,1576.8974999999996,1,0.0,0.0,0.0,0.0,0.0
2015-01-07,Furniture,76.728,0.0,0.0,2,Wednesday,1,1,2015,0,76.728,76.728,0,1576.8974999999996,0.0,0.0,0.0,0.0
2015-01-08,Furniture,0.0,0.0,0.0,3,Thursday,1,1,2015,0,0.0,0.0,0,76.728,0.0,0.0,0.0,0.0
2015-01-09,Furniture,0.0,0.0,0.0,4,Friday,1,1,2015,0,0.0,0.0,0,0.0,0.0,0.0,0.0,0.0
2015-01-10,Furniture,51.94,0.0,0.0,5,Saturday,1,1,2015,1,51.94,51.94,0,0.0,0.0,0.0,236.23221428571424,0.0
2015-01-11,Furniture,9.94,0.0,0.0,6,Sunday,1,1,2015,1,9.94,9.94,0,51.94,0.0,0.0,243.65221428571422,0.0
2015-01-12,Furniture,0.0,0.0,0.0,0,Monday,1,1,2015,0,0.0,0.0,0,9.94,0.0,0.0,245.0722142857142,0.0
2015-01-13,Furniture,879.9390000000001,0.0,0.0,1,Tuesday,1,1,2015,0,879.9390000000001,879.9390000000001,0,0.0,1576.8974999999996,0.0,245.0722142857142,0.0
2015-01-14,Furniture,61.96,0.0,0.0,2,Wednesday,1,1,2015,0,61.96,61.96,0,879.9390000000001,76.728,0.0,145.50671428571428,0.0
2015-01-15,Furniture,0.0,0.0,0.0,3,Thursday,1,1,2015,0,0.0,0.0,0,61.96,0.0,0.0,143.39700000000002,0.0
2015-01-16,Furniture,127.104,0.0,0.0,4,Friday,1,1,2015,0,127.104,127.104,0,0.0,0.0,0.0,143.39700000000002,0.0
2015-01-17,Furniture,0.0,0.0,0.0,5,Saturday,1,1,2015,1,0.0,0.0,0,127.104,51.94,0.0,161.55471428571428,0.0
2015-01-18,Furniture,0.0,0.0,0.0,6,Sunday,1,1,2015,1,0.0,0.0,0,0.0,9.94,0.0,154.1347142857143,0.0
2015-01-19,Furniture,181.47,0.0,0.0,0,Monday,1,1,2015,0,181.47,181.47,0,0.0,0.0,0.0,152.71471428571428,0.0
2015-01-20,Furniture,1413.51,0.0,0.0,1,Tuesday,1,1,2015,0,1413.51,1413.51,0,181.47,879.9390000000001,1576.8974999999996,178.63899999999998,0.0
2015-01-21,Furniture,0.0,0.0,0.0,2,Wednesday,1,1,2015,0,0.0,0.0,0,1413.51,61.96,76.728,254.86342857142856,0.0
2015-01-22,Furniture,0.0,0.0,0.0,3,Thursday,1,1,2015,0,0.0,0.0,0,0.0,0.0,0.0,246.012,0.0
2015-01-23,Furniture,0.0,0.0,0.0,4,Friday,1,1,2015,0,0.0,0.0,0,0.0,127.104,0.0,246.012,0.0
2015-01-24,Furniture,0.0,0.0,0.0,5,Saturday,1,1,2015,1,0.0,0.0,0,0.0,0.0,51.94,227.8542857142857,0.0
2015-01-25,Furniture,0.0,0.0,0.0,6,Sunday,1,1,2015,1,0.0,0.0,0,0.0,0.0,9.94,227.8542857142857,0.0
2015-01-26,Furniture,217.2,0.0,1.0,0,Monday,1,1,2015,0,217.2,217.2,0,0.0,181.47,0.0,227.8542857142857,0.0
2015-01-27,Furniture,333.0,0.0,1.0,1,Tuesday,1,1,2015,0,333.0,333.0,0,217.2,1413.51,879.9390000000001,232.95857142857147,0.0
2015-01-28,Furniture,0.0,0.0,0.0,2,Wednesday,1,1,2015,0,0.0,0.0,0,333.0,0.0,61.96,78.60000000000001,0.0
2015-01-29,Furniture,0.0,0.0,0.0,3,Thursday,1,1,2015,0,0.0,0.0,0,0.0,0.0,0.0,78.60000000000001,0.0
2015-01-30,Furniture,0.0,0.0,0.0,4,Friday,1,1,2015,0,0.0,0.0,0,0.0,0.0,127.104,78.60000000000001,0.0
2015-01-31,Furniture,290.666,0.0,1.0,5,Saturday,1,1,2015,1,290.666,290.666,0,0.0,0.0,0.0,78.60000000000001,0.0
2015-02-01,Furniture,0.0,0.0,0.0,6,Sunday,2,1,2015,1,0.0,0.0,0,290.666,0.0,0.0,120.12371428571429,0.0
2015-02-02,Furniture,0.0,0.0,0.0,0,Monday,2,1,2015,0,0.0,0.0,0,0.0,217.2,181.47,120.12371428571429,174.01181666666665
2015-02-03,Furniture,0.0,0.0,0.0,1,Tuesday,2,1,2015,0,0.0,0.0,0,0.0,333.0,1413.51,89.09514285714285,174.01181666666665
2015-02-04,Furniture,0.0,0.0,0.0,2,Wednesday,2,1,2015,0,0.0,0.0,0,0.0,0.0,0.0,41.523714285714284,174.01181666666665
2015-02-05,Furniture,0.0,0.0,0.0,3,Thursday,2,1,2015,0,0.0,0.0,0,0.0,0.0,0.0,41.523714285714284,174.01181666666665
2015-02-06,Furniture,0.0,0.0,0.0,4,Friday,2,1,2015,0,0.0,0.0,0,0.0,0.0,0.0,41.523714285714284,121.44856666666666
2015-02-07,Furniture,0.0,0.0,0.0,5,Saturday,2,1,2015,1,0.0,0.0,0,0.0,290.666,0.0,41.523714285714284,118.89096666666666
2015-02-08,Furniture,14.56,0.0,0.0,6,Sunday,2,1,2015,1,14.56,14.56,0,0.0,0.0,0.0,0.0,118.89096666666666
2015-02-09,Furniture,0.0,0.0,0.0,0,Monday,2,1,2015,0,0.0,0.0,0,14.56,0.0,217.2,2.08,119.37629999999999
2015-02-10,Furniture,0.0,0.0,0.0,1,Tuesday,2,1,2015,0,0.0,0.0,0,0.0,0.0,333.0,2.08,117.64496666666666
2015-02-11,Furniture,1650.05,0.0,0.0,2,Wednesday,2,1,2015,0,1650.05,1576.8974999999996,1,0.0,0.0,0.0,2.08,117.31363333333333
2015-02-12,Furniture,129.568,0.0,0.0,3,Thursday,2,1,2015,0,129.568,129.568,0,1576.8974999999996,0.0,0.0,227.35107142857137,169.8768833333333
2015-02-13,Furniture,0.0,0.0,0.0,4,Friday,2,1,2015,0,0.0,0.0,0,129.568,0.0,0.0,245.86078571428564,144.86451666666662
2015-02-14,Furniture,0.0,0.0,0.0,5,Saturday,2,1,2015,1,0.0,0.0,0,0.0,0.0,290.666,245.86078571428564,142.79918333333333
2015-02-15,Furniture,0.0,0.0,0.0,6,Sunday,2,1,2015,1,0.0,0.0,0,0.0,14.56,0.0,245.86078571428564,142.79918333333333
2015-02-16,Furniture,0.0,0.0,0.0,0,Monday,2,1,2015,0,0.0,0.0,0,0.0,0.0,0.0,243.78078571428566,138.56238333333332
2015-02-17,Furniture,0.0,0.0,0.0,1,Tuesday,2,1,2015,0,0.0,0.0,0,0.0,0.0,0.0,243.78078571428566,138.56238333333332
2015-02-18,Furniture,25.16,0.0,0.0,2,Wednesday,2,1,2015,0,25.16,25.16,0,0.0,1576.8974999999996,0.0,243.78078571428566,138.56238333333332
2015-02-19,Furniture,0.0,0.0,0.0,3,Thursday,2,1,2015,0,0.0,0.0,0,25.16,129.568,0.0,22.104000000000003,133.35205
2015-02-20,Furniture,20.32,0.0,0.0,4,Friday,2,1,2015,0,20.32,20.32,0,0.0,0.0,0.0,3.5942857142857143,86.23504999999999
2015-02-21,Furniture,0.0,0.0,0.0,5,Saturday,2,1,2015,1,0.0,0.0,0,20.32,0.0,0.0,6.497142857142857,86.91238333333332
2015-02-22,Furniture,0.0,0.0,0.0,6,Sunday,2,1,2015,1,0.0,0.0,0,0.0,0.0,14.56,6.497142857142857,86.91238333333332
2015-02-23,Furniture,0.0,0.0,0.0,0,Monday,2,1,2015,0,0.0,0.0,0,0.0,0.0,0.0,6.497142857142857,86.91238333333332
2015-02-24,Furniture,0.0,0.0,0.0,1,Tuesday,2,1,2015,0,0.0,0.0,0,0.0,0.0,0.0,6.497142857142857,86.91238333333332
2015-02-25,Furniture,0.0,0.0,0.0,2,Wednesday,2,1,2015,0,0.0,0.0,0,0.0,25.16,1576.8974999999996,6.497142857142857,86.91238333333332
2015-02-26,Furniture,0.0,0.0,0.0,3,Thursday,2,1,2015,0,0.0,0.0,0,0.0,0.0,129.568,2.902857142857143,79.67238333333333
2015-02-27,Furniture,0.0,0.0,0.0,4,Friday,2,1,2015,0,0.0,0.0,0,0.0,20.32,0.0,2.902857142857143,68.57238333333333
2015-02-28,Furniture,0.0,0.0,0.0,5,Saturday,2,1,2015,1,0.0,0.0,0,0.0,0.0,0.0,0.0,68.57238333333333
2015-03-01,Furniture,1893.995,0.0,1.0,6,Sunday,3,1,2015,1,1893.995,1576.8974999999996,1,0.0,0.0,0.0,0.0,68.57238333333333
2015-03-02,Furniture,0.0,0.0,0.0,0,Monday,3,1,2015,0,0.0,0.0,0,1576.8974999999996,0.0,0.0,225.27107142857136,121.13563333333332
2015-03-03,Furniture,928.8019999999999,0.0,1.0,1,Tuesday,3,1,2015,0,928.8019999999999,928.8019999999999,0,0.0,0.0,0.0,225.27107142857136,111.44676666666665
2015-03-04,Furniture,0.0,0.0,0.0,2,Wednesday,3,1,2015,0,0.0,0.0,0,928.8019999999999,0.0,25.16,357.9570714285714,142.4068333333333
2015-03-05,Furniture,0.0,0.0,0.0,3,Thursday,3,1,2015,0,0.0,0.0,0,0.0,0.0,0.0,357.9570714285714,142.4068333333333
2015-03-06,Furniture,0.0,0.0,0.0,4,Friday,3,1,2015,0,0.0,0.0,0,0.0,0.0,20.32,357.9570714285714,142.4068333333333
2015-03-07,Furniture,966.9839999999999,0.0,0.0,5,Saturday,3,1,2015,1,966.9839999999999,966.9839999999999,0,0.0,0.0,0.0,357.9570714285714,142.4068333333333
2015-03-08,Furniture,0.0,0.0,0.0,6,Sunday,3,1,2015,1,0.0,0.0,0,966.9839999999999,1576.8974999999996,0.0,496.0976428571427,174.63963333333328
2015-03-09,Furniture,0.0,0.0,0.0,0,Monday,3,1,2015,0,0.0,0.0,0,0.0,0.0,0.0,270.8265714285714,174.63963333333328
2015-03-10,Furniture,0.0,0.0,0.0,1,Tuesday,3,1,2015,0,0.0,0.0,0,0.0,928.8019999999999,0.0,270.8265714285714,174.63963333333328
2015-03-11,Furniture,8.32,0.0,0.0,2,Wednesday,3,1,2015,0,8.32,8.32,0,0.0,0.0,0.0,138.1405714285714,174.15429999999998
2015-03-12,Furniture,0.0,0.0,0.0,3,Thursday,3,1,2015,0,0.0,0.0,0,8.32,0.0,0.0,139.32914285714284,174.43163333333328
2015-03-13,Furniture,0.0,0.0,0.0,4,Friday,3,1,2015,0,0.0,0.0,0,0.0,0.0,0.0,139.32914285714284,174.43163333333328
2015-03-14,Furniture,1139.92,0.0,0.0,5,Saturday,3,1,2015,1,1139.92,1139.92,0,0.0,966.9839999999999,0.0,139.32914285714284,121.86838333333331
2015-03-15,Furniture,45.696,0.0,0.0,6,Sunday,3,1,2015,1,45.696,45.696,0,1139.92,0.0,1576.8974999999996,164.03428571428574,155.5467833333333
2015-03-16,Furniture,0.0,0.0,0.0,0,Monday,3,1,2015,0,0.0,0.0,0,45.696,0.0,0.0,170.56228571428574,157.0699833333333
