Category,ds,y_original,y,is_holiday,is_payday,is_promo,is_weekend,month,quarter,year
Furniture,2015-01-31,6217.277,5220.3544999999995,0.0,1.0,1.0,1,1,1,2015
Furniture,2015-02-28,1839.658,1766.5054999999995,0.0,0.0,1.0,1,2,1,2015
Furniture,2015-03-31,14243.367999999999,12237.937999999998,1.0,1.0,1.0,1,3,1,2015
Furniture,2015-04-30,7944.8369999999995,7731.4445,0.0,1.0,1.0,1,4,2,2015
Furniture,2015-05-31,6912.787,6912.787,1.0,1.0,1.0,1,5,2,2015
Furniture,2015-06-30,13144.5816,11040.5726,1.0,1.0,1.0,1,6,2,2015
Furniture,2015-07-31,10821.051,10665.602499999999,1.0,1.0,1.0,1,7,3,2015
Furniture,2015-08-31,7125.2105,6739.383999999999,0.0,1.0,1.0,1,8,3,2015
Furniture,2015-09-30,23816.4808,15915.008799999998,0.0,1.0,1.0,1,9,3,2015
Furniture,2015-10-31,12304.247,10238.189999999999,1.0,1.0,1.0,1,10,4,2015
Furniture,2015-11-30,21471.0407,15942.427699999998,0.0,1.0,1.0,1,11,4,2015
Furniture,2015-12-31,30637.3425,19334.488499999996,1.0,1.0,1.0,1,12,4,2015
Furniture,2016-01-31,11739.9416,7610.186599999999,0.0,1.0,1.0,1,1,1,2016
Furniture,2016-02-29,3134.374,3134.374,0.0,1.0,1.0,1,2,1,2016
Furniture,2016-03-31,8722.6374,8552.5849,0.0,1.0,1.0,1,3,1,2016
Furniture,2016-04-30,10475.6985,9731.728999999998,0.0,1.0,1.0,1,4,2,2016
Furniture,2016-05-31,9374.950499999999,6895.107999999999,1.0,1.0,1.0,1,5,2,2016
Furniture,2016-06-30,7540.9710000000005,7540.9710000000005,0.0,1.0,1.0,1,6,2,2016
Furniture,2016-07-31,13667.04,12641.8085,1.0,1.0,1.0,1,7,3,2016
Furniture,2016-08-31,9638.5922,9281.663199999999,0.0,1.0,1.0,1,8,3,2016
Furniture,2016-09-30,25085.423,14111.076499999997,0.0,1.0,1.0,1,9,3,2016
Furniture,2016-10-31,11664.4875,10481.1785,1.0,1.0,1.0,1,10,4,2016
Furniture,2016-11-30,30197.500500000002,22863.407699999996,0.0,1.0,1.0,1,11,4,2016
Furniture,2016-12-31,22812.2512,16794.2345,1.0,1.0,1.0,1,12,4,2016
Furniture,2017-01-31,7622.743,7606.790499999999,0.0,1.0,1.0,1,1,1,2017
Furniture,2017-02-28,3925.551,3925.551,0.0,1.0,1.0,1,2,1,2017
Furniture,2017-03-31,12272.662,12272.662,0.0,1.0,1.0,1,3,1,2017
Furniture,2017-04-30,13212.09,13212.09,1.0,1.0,1.0,1,4,2,2017
Furniture,2017-05-31,14892.575,10722.8355,1.0,1.0,1.0,1,5,2,2017
Furniture,2017-06-30,12450.524,10565.16,1.0,1.0,1.0,1,6,2,2017
Furniture,2017-07-31,12569.759,11149.948499999999,0.0,1.0,1.0,1,7,3,2017
Furniture,2017-08-31,11910.0583,8099.273299999999,0.0,1.0,1.0,1,8,3,2017
Furniture,2017-09-30,26755.4749,21254.544799999996,1.0,1.0,1.0,1,9,3,2017
Furniture,2017-10-31,11813.009000000002,10733.886999999999,0.0,1.0,1.0,1,10,4,2017
Furniture,2017-11-30,31783.6288,21730.546,0.0,1.0,1.0,1,11,4,2017
Furniture,2017-12-31,36604.965,26850.293499999996,1.0,1.0,1.0,1,12,4,2017
Furniture,2018-01-31,5930.162,5930.162,1.0,1.0,1.0,1,1,1,2018
Furniture,2018-02-28,6774.3774,6395.7045,1.0,1.0,1.0,1,2,1,2018
Furniture,2018-03-31,10893.444800000001,9667.353299999999,1.0,1.0,1.0,1,3,1,2018
Furniture,2018-04-30,9065.9581,9065.9581,1.0,1.0,1.0,1,4,2,2018
Furniture,2018-05-31,16957.5582,13050.046699999999,1.0,1.0,1.0,1,5,2,2018
Furniture,2018-06-30,17032.3867,16503.623199999998,1.0,1.0,1.0,1,6,2,2018
Furniture,2018-07-31,11375.822,11105.190499999999,0.0,1.0,1.0,1,7,3,2018
Furniture,2018-08-31,15419.122,10813.205999999998,1.0,1.0,1.0,1,8,3,2018
Furniture,2018-09-30,28516.706,18983.930999999997,1.0,1.0,1.0,1,9,3,2018
Furniture,2018-10-31,21884.0682,18310.4107,0.0,1.0,1.0,1,10,4,2018
Furniture,2018-11-30,37056.715000000004,24846.737299999997,1.0,1.0,1.0,1,11,4,2018
Furniture,2018-12-31,31407.466800000002,22285.382799999996,1.0,1.0,1.0,1,12,4,2018
Office Supplies,2015-01-31,4845.14,4206.7805,1.0,1.0,1.0,1,1,1,2015
Office Supplies,2015-02-28,1071.724,1071.724,0.0,1.0,1.0,1,2,1,2015
Office Supplies,2015-03-31,8602.455,8086.693499999999,1.0,1.0,1.0,1,3,1,2015
Office Supplies,2015-04-30,10988.874,7226.8825,0.0,1.0,1.0,1,4,2,2015
Office Supplies,2015-05-31,7131.639999999999,4981.8105,0.0,1.0,1.0,1,5,2,2015
Office Supplies,2015-06-30,12742.389,9596.4925,1.0,1.0,1.0,1,6,2,2015
Office Supplies,2015-07-31,15121.207999999999,7140.825,1.0,1.0,1.0,1,7,3,2015
Office Supplies,2015-08-31,11055.276,9628.05,1.0,1.0,1.0,1,8,3,2015
Office Supplies,2015-09-30,27423.298000000003,14675.9445,1.0,1.0,1.0,1,9,3,2015
Office Supplies,2015-10-31,7211.128,7211.128,1.0,1.0,1.0,1,10,4,2015
Office Supplies,2015-11-30,26363.196,18080.5005,0.0,1.0,1.0,1,11,4,2015
Office Supplies,2015-12-31,16956.492,13910.928,1.0,1.0,1.0,1,12,4,2015
Office Supplies,2016-01-31,1808.78,1808.78,0.0,1.0,1.0,1,1,1,2016
Office Supplies,2016-02-29,5368.067,4165.7235,1.0,1.0,1.0,1,2,1,2016
Office Supplies,2016-03-31,13472.739,7720.648,1.0,1.0,1.0,1,3,1,2016
Office Supplies,2016-04-30,12517.818,9712.793,0.0,1.0,1.0,1,4,2,2016
Office Supplies,2016-05-31,8941.58,8641.9245,1.0,1.0,1.0,1,5,2,2016
Office Supplies,2016-06-30,9623.037,7419.47,1.0,1.0,1.0,1,6,2,2016
Office Supplies,2016-07-31,4706.243,4706.243,1.0,1.0,1.0,1,7,3,2016
Office Supplies,2016-08-31,11735.108,10005.8975,1.0,1.0,1.0,1,8,3,2016
Office Supplies,2016-09-30,19031.055,18197.379,1.0,1.0,1.0,1,9,3,2016
Office Supplies,2016-10-31,8642.36,7849.724999999999,1.0,1.0,1.0,1,10,4,2016
