Category,ds,y_original,y,is_holiday,is_payday,is_promo,is_weekend,day_of_week,month,quarter,year
Furniture,2015-01-04,0.0,0.0,0.0,0.0,0.0,1,6,1,1,2015
Furniture,2015-01-11,2712.4280000000003,1715.5054999999995,0.0,0.0,1.0,1,6,1,1,2015
Furniture,2015-01-18,1069.0030000000002,1069.0030000000002,0.0,0.0,0.0,1,6,1,1,2015
Furniture,2015-01-25,1594.98,1594.98,0.0,0.0,0.0,1,6,1,1,2015
Furniture,2015-02-01,840.866,840.866,0.0,1.0,1.0,1,6,2,1,2015
Furniture,2015-02-08,14.56,14.56,0.0,0.0,1.0,1,6,2,1,2015
Furniture,2015-02-15,1779.618,1706.4654999999996,0.0,0.0,0.0,1,6,2,1,2015
Furniture,2015-02-22,45.480000000000004,45.480000000000004,0.0,0.0,0.0,1,6,2,1,2015
Furniture,2015-03-01,1893.995,1576.8974999999996,0.0,1.0,1.0,1,6,3,1,2015
Furniture,2015-03-08,1895.7859999999998,1895.7859999999998,0.0,1.0,1.0,1,6,3,1,2015
Furniture,2015-03-15,1193.936,1193.936,0.0,0.0,1.0,1,6,3,1,2015
Furniture,2015-03-22,5318.3679999999995,3630.0354999999995,1.0,0.0,1.0,1,6,3,1,2015
Furniture,2015-03-29,2482.827,2482.827,0.0,1.0,1.0,1,6,3,1,2015
Furniture,2015-04-05,1641.6060000000002,1641.6060000000002,0.0,1.0,1.0,1,6,4,2,2015
Furniture,2015-04-12,2738.465,2738.465,0.0,0.0,1.0,1,6,4,2,2015
Furniture,2015-04-19,580.958,580.958,0.0,0.0,1.0,1,6,4,2,2015
Furniture,2015-04-26,3811.26,3597.8675,0.0,1.0,1.0,1,6,4,2,2015
Furniture,2015-05-03,631.0039999999999,631.0039999999999,0.0,1.0,1.0,1,6,5,2,2015
Furniture,2015-05-10,1840.8280000000002,1840.8280000000002,0.0,0.0,1.0,1,6,5,2,2015
Furniture,2015-05-17,2837.134,2837.134,1.0,0.0,1.0,1,6,5,2,2015
Furniture,2015-05-24,407.196,407.196,0.0,0.0,0.0,1,6,5,2,2015
Furniture,2015-05-31,1827.629,1827.629,0.0,1.0,1.0,1,6,5,2,2015
Furniture,2015-06-07,4298.447,3851.2844999999998,1.0,1.0,1.0,1,6,6,2,2015
Furniture,2015-06-14,4202.588,2545.7414999999996,0.0,0.0,1.0,1,6,6,2,2015
Furniture,2015-06-21,1853.0016,1853.0016,0.0,0.0,1.0,1,6,6,2,2015
Furniture,2015-06-28,2790.545,2790.545,0.0,1.0,1.0,1,6,6,2,2015
Furniture,2015-07-05,232.73600000000002,232.73600000000002,0.0,0.0,1.0,1,6,7,3,2015
Furniture,2015-07-12,3718.773,3718.773,0.0,0.0,1.0,1,6,7,3,2015
Furniture,2015-07-19,712.896,712.896,1.0,0.0,1.0,1,6,7,3,2015
Furniture,2015-07-26,4658.918,4503.469499999999,0.0,1.0,1.0,1,6,7,3,2015
Furniture,2015-08-02,1541.8559999999998,1541.8559999999998,0.0,1.0,1.0,1,6,8,3,2015
Furniture,2015-08-09,2839.946,2454.1195,0.0,1.0,1.0,1,6,8,3,2015
Furniture,2015-08-16,950.882,950.882,0.0,0.0,1.0,1,6,8,3,2015
Furniture,2015-08-23,1853.8960000000002,1853.8960000000002,0.0,0.0,1.0,1,6,8,3,2015
Furniture,2015-08-30,1436.3585,1436.3585,0.0,1.0,1.0,1,6,8,3,2015
Furniture,2015-09-06,144.574,144.574,0.0,1.0,1.0,1,6,9,3,2015
Furniture,2015-09-13,12484.108999999999,7653.869999999998,0.0,0.0,1.0,1,6,9,3,2015
Furniture,2015-09-20,4816.274,3321.5314999999996,0.0,0.0,1.0,1,6,9,3,2015
Furniture,2015-09-27,2865.8078,2865.8078,0.0,1.0,1.0,1,6,9,3,2015
Furniture,2015-10-04,4650.965,3074.4744999999994,0.0,1.0,1.0,1,6,10,4,2015
Furniture,2015-10-11,805.102,805.102,0.0,0.0,1.0,1,6,10,4,2015
Furniture,2015-10-18,4528.638,4476.715499999999,1.0,0.0,1.0,1,6,10,4,2015
Furniture,2015-10-25,1553.308,1553.308,0.0,0.0,0.0,1,6,10,4,2015
Furniture,2015-11-01,4303.63,2289.4954999999995,0.0,1.0,1.0,1,6,11,4,2015
Furniture,2015-11-08,3316.33,3316.33,0.0,1.0,1.0,1,6,11,4,2015
Furniture,2015-11-15,3784.0612,3289.5346999999997,0.0,0.0,1.0,1,6,11,4,2015
Furniture,2015-11-22,8830.9625,4522.9455,0.0,0.0,0.0,1,6,11,4,2015
Furniture,2015-11-29,5508.007,4781.9375,0.0,1.0,1.0,1,6,11,4,2015
Furniture,2015-12-06,6321.598,3384.8894999999993,0.0,1.0,1.0,1,6,12,4,2015
Furniture,2015-12-13,5939.580500000001,2820.8774999999996,0.0,0.0,1.0,1,6,12,4,2015
Furniture,2015-12-20,10196.101999999999,6277.312499999999,0.0,0.0,1.0,1,6,12,4,2015
Furniture,2015-12-27,4928.598,4607.575499999999,1.0,1.0,1.0,1,6,12,4,2015
Furniture,2016-01-03,5056.311600000001,4048.6811,0.0,1.0,1.0,1,6,1,1,2016
Furniture,2016-01-10,1271.9080000000001,1271.9080000000001,0.0,0.0,1.0,1,6,1,1,2016
Furniture,2016-01-17,797.1940000000001,797.1940000000001,0.0,0.0,1.0,1,6,1,1,2016
Furniture,2016-01-24,301.742,301.742,0.0,0.0,0.0,1,6,1,1,2016
Furniture,2016-01-31,7564.25,3434.494999999999,0.0,1.0,1.0,1,6,1,1,2016
Furniture,2016-02-07,1808.942,1808.942,0.0,1.0,1.0,1,6,2,1,2016
Furniture,2016-02-14,244.70399999999998,244.70399999999998,0.0,0.0,0.0,1,6,2,1,2016
Furniture,2016-02-21,35.544,35.544,0.0,0.0,0.0,1,6,2,1,2016
Furniture,2016-02-28,1045.184,1045.184,0.0,1.0,1.0,1,6,2,1,2016
Furniture,2016-03-06,3156.7994,3156.7994,0.0,1.0,1.0,1,6,3,1,2016
Furniture,2016-03-13,3169.094,2999.0414999999994,0.0,0.0,1.0,1,6,3,1,2016
Furniture,2016-03-20,215.09,215.09,0.0,0.0,0.0,1,6,3,1,2016
Furniture,2016-03-27,605.6899999999999,605.6899999999999,0.0,0.0,0.0,1,6,3,1,2016
Furniture,2016-04-03,1575.9640000000002,1575.9640000000002,0.0,1.0,1.0,1,6,4,2,2016
Furniture,2016-04-10,2277.706,2055.2094999999995,0.0,0.0,1.0,1,6,4,2,2016
Furniture,2016-04-17,3781.2039999999997,3275.682999999999,0.0,0.0,1.0,1,6,4,2,2016
Furniture,2016-04-24,1150.056,1150.056,0.0,0.0,0.0,1,6,4,2,2016
Furniture,2016-05-01,3330.2845,3314.3324999999995,1.0,1.0,1.0,1,6,5,2,2016
Furniture,2016-05-08,2142.606,2142.606,0.0,1.0,1.0,1,6,5,2,2016
Furniture,2016-05-15,1666.7234999999998,1666.7234999999998,0.0,0.0,1.0,1,6,5,2,2016
Furniture,2016-05-22,163.136,163.136,0.0,0.0,0.0,1,6,5,2,2016
Furniture,2016-05-29,1282.193,1282.193,0.0,1.0,1.0,1,6,5,2,2016
Furniture,2016-06-05,5614.658,3134.8154999999997,0.0,1.0,1.0,1,6,6,2,2016
Furniture,2016-06-12,1600.4080000000004,1600.4080000000004,0.0,0.0,1.0,1,6,6,2,2016
