product_name,sale_date,quantity_sold,revenue,category,region
Kopi Susu Gula Aren,2026-05-19,22,330000,Minuman,Jakarta
Roti Bakar Cokelat,2026-05-19,11,220000,Makanan,Jakarta
Kopi Susu Gula Aren,2026-05-20,30,450000,Minuman,Jakarta
Roti Bakar Cokelat,2026-05-20,10,200000,Makanan,Jakarta
Kopi Susu Gula Aren,2026-05-21,30,450000,Minuman,Jakarta
Roti Bakar Cokelat,2026-05-21,13,260000,Makanan,Jakarta
Kopi Susu Gula Aren,2026-05-22,25,375000,Minuman,Jakarta
Roti Bakar Cokelat,2026-05-22,15,300000,Makanan,Jakarta
Kopi Susu Gula Aren,2026-05-23,27,405000,Minuman,Jakarta
Roti Bakar Cokelat,2026-05-23,8,160000,Makanan,Jakarta
Kopi Susu Gula Aren,2026-05-24,24,360000,Minuman,Jakarta
Roti Bakar Cokelat,2026-05-24,14,280000,Makanan,Jakarta
Kopi Susu Gula Aren,2026-05-25,29,435000,Minuman,Jakarta
Roti Bakar Cokelat,2026-05-25,13,260000,Makanan,Jakarta
Kopi Susu Gula Aren,2026-05-26,27,405000,Minuman,Jakarta
Roti Bakar Cokelat,2026-05-26,10,200000,Makanan,Jakarta
Kopi Susu Gula Aren,2026-05-27,21,315000,Minuman,Jakarta
Roti Bakar Cokelat,2026-05-27,11,220000,Makanan,Jakarta
Kopi Susu Gula Aren,2026-05-28,23,345000,Minuman,Jakarta
Roti Bakar Cokelat,2026-05-28,16,320000,Makanan,Jakarta
Kopi Susu Gula Aren,2026-05-29,21,315000,Minuman,Jakarta
Roti Bakar Cokelat,2026-05-29,9,180000,Makanan,Jakarta
Kopi Susu Gula Aren,2026-05-30,21,315000,Minuman,Jakarta
Roti Bakar Cokelat,2026-05-30,16,320000,Makanan,Jakarta
Kopi Susu Gula Aren,2026-05-31,26,390000,Minuman,Jakarta
Roti Bakar Cokelat,2026-05-31,11,220000,Makanan,Jakarta
Kopi Susu Gula Aren,2026-06-01,20,300000,Minuman,Jakarta
Roti Bakar Cokelat,2026-06-01,7,140000,Makanan,Jakarta
Kopi Susu Gula Aren,2026-06-02,29,435000,Minuman,Jakarta
Roti Bakar Cokelat,2026-06-02,12,240000,Makanan,Jakarta
